Player,School,Conf,Year,G,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Cody Schrader*,Missouri,SEC,2023,13,276,1627,5.9,14,22,191,8.7,0,298,1818,6.1,14
Omarion Hampton*,North Carolina,ACC,2023,13,253,1504,5.9,15,29,222,7.7,1,282,1726,6.1,16
TreVeyon Henderson*,Ohio State,Big Ten,2023,10,156,926,5.9,11,19,229,12.1,0,175,1155,6.6,11
Trey Benson*,Florida State,ACC,2023,13,156,906,5.8,14,20,227,11.4,1,176,1133,6.4,15
Darius Taylor*,Minnesota,Big Ten,2023,6,138,799,5.8,5,11,92,8.4,0,149,891,6.0,5
Jaquez Moore*,Duke,ACC,2023,13,116,674,5.8,6,4,64,16.0,0,120,738,6.2,6
Re'Mahn Davis*,Kentucky,SEC,2023,13,199,1129,5.7,14,33,323,9.8,7,232,1452,6.3,21
Jarquez Hunter*,Auburn,SEC,2023,12,159,909,5.7,7,18,118,6.6,0,177,1027,5.8,7
Trevor Etienne,Florida,SEC,2023,11,131,753,5.7,8,21,172,8.2,1,152,925,6.1,9
Dylan Sampson*,Tennessee,SEC,2023,12,106,604,5.7,7,17,175,10.3,1,123,779,6.3,8
Ulysses Bentley IV*,Ole Miss,SEC,2023,13,95,540,5.7,4,11,87,7.9,1,106,627,5.9,5
DJ Giddens*,Kansas State,Big 12,2023,13,223,1226,5.5,10,29,323,11.1,3,252,1549,6.1,13
Corey Kiner,Cincinnati,Big 12,2023,12,192,1047,5.5,5,12,49,4.1,0,204,1096,5.4,5
Logan Diggs*,LSU,SEC,2023,10,119,653,5.5,7,8,82,10.3,0,127,735,5.8,7
Emani Bailey,TCU,Big 12,2023,12,223,1209,5.4,8,25,184,7.4,1,248,1393,5.6,9
Braelon Allen*,Wisconsin,Big Ten,2023,11,181,984,5.4,12,28,132,4.7,0,209,1116,5.3,12
Phil Mafah*,Clemson,ACC,2023,13,179,965,5.4,13,21,108,5.1,0,200,1073,5.4,13
Daijun Edwards*,Georgia,SEC,2023,12,164,881,5.4,13,20,197,9.9,0,184,1078,5.9,13
Jordan Waters*,Duke,ACC,2023,13,153,819,5.4,12,9,139,15.4,0,162,958,5.9,12
Montrell Johnson,Florida,SEC,2023,12,152,817,5.4,5,30,236,7.9,1,182,1053,5.8,6
Tahj Brooks*,Texas Tech,Big 12,2023,13,290,1538,5.3,10,29,72,2.5,0,319,1610,5.0,10
Kyle Monangai*,Rutgers,Big Ten,2023,13,242,1262,5.2,8,8,78,9.8,0,250,1340,5.4,8
Thomas Castellanos*,Boston College,ACC,2023,13,215,1113,5.2,13,2,-11,-5.5,0,217,1102,5.1,13
Kaytron Allen*,Penn State,Big Ten,2023,13,172,902,5.2,6,14,81,5.8,1,186,983,5.3,7
Treshaun Ward*,Kansas State,Big 12,2023,11,124,643,5.2,5,17,129,7.6,2,141,772,5.5,7
Daniel Hishaw Jr.*,Kansas,Big 12,2023,13,121,626,5.2,8,1,9,9.0,0,122,635,5.2,8
Perris Jones,Virginia,ACC,2023,10,76,393,5.2,2,6,107,17.8,0,82,500,6.1,2
Amari Daniels*,Texas A&M,SEC,2023,12,105,532,5.1,6,14,102,7.3,0,119,634,5.3,6
Donald Chaney Jr.*,Miami (FL),ACC,2023,11,94,478,5.1,2,5,15,3.0,0,99,493,5.0,2
Bhayshul Tuten*,Virginia Tech,ACC,2023,13,173,863,5.0,10,27,239,8.9,2,200,1102,5.5,12
Will Shipley*,Clemson,ACC,2023,12,167,827,5.0,5,31,244,7.9,2,198,1071,5.4,7
Roydell Williams*,Alabama,SEC,2023,14,111,560,5.0,5,11,58,5.3,1,122,618,5.1,6
Tawee Walker*,Oklahoma,Big 12,2023,12,102,513,5.0,7,10,81,8.1,0,112,594,5.3,7
Dontae Smith*,Georgia Tech,ACC,2023,11,100,504,5.0,4,10,92,9.2,1,110,596,5.4,5
Le'Veon Moss*,Texas A&M,SEC,2023,9,96,484,5.0,5,11,84,7.6,0,107,568,5.3,5
Jabari Small*,Tennessee,SEC,2023,11,95,475,5.0,2,7,40,5.7,0,102,515,5.0,2
Jase McClellan*,Alabama,SEC,2023,13,180,890,4.9,8,15,137,9.1,0,195,1027,5.3,8
Kyron Drones*,Virginia Tech,ACC,2023,13,166,818,4.9,5,1,0,0.0,0,167,818,4.9,5
Mario Anderson,South Carolina,SEC,2023,12,143,707,4.9,3,22,153,7.0,1,165,860,5.2,4
Reggie Love III,Illinois,Big Ten,2023,8,116,567,4.9,4,9,58,6.4,0,125,625,5.0,4
Mark Fletcher Jr.*,Miami (FL),ACC,2023,10,105,514,4.9,5,7,62,8.9,0,112,576,5.1,5
Blake Corum*,Michigan,Big Ten,2023,15,258,1245,4.8,27,16,117,7.3,1,274,1362,5.0,28
Leshon Williams*,Iowa,Big Ten,2023,14,170,821,4.8,1,12,68,5.7,1,182,889,4.9,2
Kye Robichaux*,Boston College,ACC,2023,11,163,780,4.8,8,15,108,7.2,0,178,888,5.0,8
Roman Hemby*,Maryland,Big Ten,2023,13,142,680,4.8,4,38,349,9.2,3,180,1029,5.7,7
CJ Baxter*,Texas,Big 12,2023,13,138,659,4.8,5,24,156,6.5,0,162,815,5.0,5
LJ Martin,Brigham Young,Big 12,2023,10,109,518,4.8,4,11,45,4.1,1,120,563,4.7,5
John Rhys Plumlee*,UCF,Big 12,2023,10,106,505,4.8,5,0,0,,0,106,505,4.8,5
Aidan Robbins,Brigham Young,Big 12,2023,8,101,485,4.8,1,7,33,4.7,0,108,518,4.8,1
Devin Mockobee,Purdue,Big Ten,2023,12,172,811,4.7,6,19,180,9.5,1,191,991,5.2,7
CJ Donaldson*,West Virginia,Big 12,2023,12,171,798,4.7,11,9,59,6.6,0,180,857,4.8,11
Brennan Armstrong*,North Carolina State,ACC,2023,12,143,665,4.7,7,0,0,,0,143,665,4.7,7
Jo'quavious Marks,Mississippi State,SEC,2023,9,121,573,4.7,4,23,167,7.3,2,144,740,5.1,6
Eli Sanders*,Iowa State,Big 12,2023,9,102,477,4.7,4,5,43,8.6,1,107,520,4.9,5
Parker Jenkins,Houston,Big 12,2023,12,99,464,4.7,3,15,81,5.4,0,114,545,4.8,3
Trent Howland,Indiana,Big Ten,2023,11,75,354,4.7,2,3,22,7.3,0,78,376,4.8,2
Justice Ellison,Wake Forest,ACC,2023,11,120,548,4.6,1,10,61,6.1,0,130,609,4.7,1
Rodney Hammond Jr.,Pitt,ACC,2023,12,118,547,4.6,4,8,60,7.5,0,126,607,4.8,4
Kaden Feagin,Illinois,Big Ten,2023,9,95,438,4.6,2,9,116,12.9,1,104,554,5.3,3
Emmett Johnson,Nebraska,Big Ten,2023,12,90,411,4.6,2,7,46,6.6,0,97,457,4.7,2
Malachi Thomas*,Virginia Tech,ACC,2023,13,83,381,4.6,2,9,49,5.4,0,92,430,4.7,2
Nicholas Singleton*,Penn State,Big Ten,2023,13,171,752,4.4,8,26,308,11.8,2,197,1060,5.4,10
Jordan Nubin*,Minnesota,Big Ten,2023,13,127,559,4.4,3,6,27,4.5,0,133,586,4.4,3
Deamonte Trayanum*,Ohio State,Big Ten,2023,12,85,373,4.4,3,9,53,5.9,0,94,426,4.5,3
Quinshon Judkins*,Ole Miss,SEC,2023,13,271,1158,4.3,15,22,149,6.8,2,293,1307,4.5,17
LeQuint Allen*,Syracuse,ACC,2023,13,245,1064,4.3,9,38,210,5.5,1,283,1274,4.5,10
Nate Carter,Michigan State,Big Ten,2023,12,185,798,4.3,4,22,103,4.7,0,207,901,4.4,4
Demond Claiborne,Wake Forest,ACC,2023,10,137,586,4.3,5,3,35,11.7,0,140,621,4.4,5
Dawson Pendergrass,Baylor,Big 12,2023,11,79,338,4.3,5,26,199,7.7,2,105,537,5.1,7
Dominic Richardson,Baylor,Big 12,2023,11,125,519,4.2,1,21,152,7.2,1,146,671,4.6,2
Donovan Edwards*,Michigan,Big Ten,2023,15,119,497,4.2,5,30,249,8.3,0,149,746,5.0,5
Garrett Shrader*,Syracuse,ACC,2023,11,113,469,4.2,8,4,1,0.3,0,117,470,4.0,8
Josh Henderson,Indiana,Big Ten,2023,8,81,337,4.2,2,10,125,12.5,1,91,462,5.1,3
Patrick Smith,Vanderbilt,SEC,2023,11,79,327,4.1,2,4,15,3.8,0,83,342,4.1,2
Heinrich Haarberg,Nebraska,Big Ten,2023,10,120,477,4.0,5,2,12,6.0,0,122,489,4.0,5
Kaleb Johnson*,Iowa,Big Ten,2023,10,117,463,4.0,3,3,25,8.3,0,120,488,4.1,3
Drake Maye*,North Carolina,ACC,2023,12,112,449,4.0,9,0,0,,0,112,449,4.0,9
Anthony Grant,Nebraska,Big Ten,2023,11,104,413,4.0,3,4,13,3.3,0,108,426,3.9,3
Dillon Gabriel*,Oklahoma,Big 12,2023,12,93,373,4.0,12,0,0,,0,93,373,4.0,12
Cam Porter*,Northwestern,Big Ten,2023,13,166,651,3.9,4,21,121,5.8,1,187,772,4.1,5
Sedrick Alexander,Vanderbilt,SEC,2023,12,96,371,3.9,4,18,133,7.4,0,114,504,4.4,4
Cartevious Norton*,Iowa State,Big 12,2023,11,87,343,3.9,3,3,20,6.7,0,90,363,4.0,3
Payton Thorne*,Auburn,SEC,2023,13,134,515,3.8,3,0,0,,0,134,515,3.8,3
Gavin Wimsatt*,Rutgers,Big Ten,2023,13,131,497,3.8,11,0,0,,0,131,497,3.8,11
Rueben Owens*,Texas A&M,SEC,2023,13,101,385,3.8,3,12,109,9.1,0,113,494,4.4,3
C'Bo Flemister,Pitt,ACC,2023,12,98,367,3.7,2,8,106,13.3,1,106,473,4.5,3
Emory Jones,Cincinnati,Big 12,2023,12,155,560,3.6,4,0,0,,0,155,560,3.6,4
Tanner Mordecai*,Wisconsin,Big Ten,2023,10,90,302,3.4,4,2,14,7.0,0,92,316,3.4,4
Mike Hollins,Virginia,ACC,2023,11,80,274,3.4,7,10,34,3.4,1,90,308,3.4,8
Jalen Milroe*,Alabama,SEC,2023,13,161,531,3.3,12,0,0,,0,161,531,3.3,12
Jaxson Dart*,Ole Miss,SEC,2023,13,119,389,3.3,8,1,15,15.0,0,120,404,3.4,8
Rashod Dubinion,Arkansas,SEC,2023,10,82,260,3.2,1,14,85,6.1,1,96,345,3.6,2
Donovan Smith,Houston,Big 12,2023,12,138,428,3.1,6,1,28,28.0,1,139,456,3.3,7
Kobe Pace,Virginia,ACC,2023,12,125,382,3.1,1,19,176,9.3,3,144,558,3.9,4
Luke Altmyer,Illinois,Big Ten,2023,9,94,282,3.0,3,0,0,,0,94,282,3.0,3
Delbert Mimms*,North Carolina State,ACC,2023,13,96,282,2.9,8,3,23,7.7,0,99,305,3.1,8
K.J. Jefferson,Arkansas,SEC,2023,12,161,447,2.8,2,0,0,,0,161,447,2.8,2
Brady Cook*,Missouri,SEC,2023,13,113,319,2.8,8,0,0,,0,113,319,2.8,8
Brendan Sorsby,Indiana,Big Ten,2023,10,113,276,2.4,4,0,0,,0,113,276,2.4,4
Hudson Card,Purdue,Big Ten,2023,11,93,203,2.2,5,0,0,,0,93,203,2.2,5
Cade Klubnik*,Clemson,ACC,2023,13,125,182,1.5,4,0,0,,0,125,182,1.5,4
Mitch Griffis,Wake Forest,ACC,2023,9,106,128,1.2,2,0,0,,0,106,128,1.2,2
Spencer Rattler,South Carolina,SEC,2023,12,97,104,1.1,4,0,0,,0,97,104,1.1,4
Jack Plummer*,Louisville,ACC,2023,14,98,34,0.3,1,0,0,,0,98,34,0.3,1
